Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.31,0.26598090056744006
75% Corpus,5,symmetric,0.61,0.26641336261574805
75% Corpus,5,symmetric,0.9099999999999999,0.27678310304194514
75% Corpus,5,symmetric,symmetric,0.26598090056744006
75% Corpus,5,asymmetric,0.01,0.26917852191725355
75% Corpus,5,asymmetric,0.31,0.26598090056744006
75% Corpus,5,asymmetric,0.61,0.26641336261574805
75% Corpus,5,asymmetric,0.9099999999999999,0.27834090509692566
75% Corpus,5,asymmetric,symmetric,0.26598090056744006
75% Corpus,6,0.01,0.01,0.2618590204232181
75% Corpus,6,0.01,0.31,0.2573180755625049
75% Corpus,6,0.01,0.61,0.2559833150296756
75% Corpus,6,0.01,0.9099999999999999,0.2609629703203984
75% Corpus,6,0.01,symmetric,0.26291403309933953
75% Corpus,6,0.31,0.01,0.2618590204232181
75% Corpus,6,0.31,0.31,0.2573180755625049
75% Corpus,6,0.31,0.61,0.2559833150296756
75% Corpus,6,0.31,0.9099999999999999,0.2609629703203984
75% Corpus,6,0.31,symmetric,0.26291403309933953
75% Corpus,6,0.61,0.01,0.26219023216469184
75% Corpus,6,0.61,0.31,0.2581790909104687
75% Corpus,6,0.61,0.61,0.2559833150296756
75% Corpus,6,0.61,0.9099999999999999,0.2609629703203984
75% Corpus,6,0.61,symmetric,0.26291403309933953
75% Corpus,6,0.9099999999999999,0.01,0.26219023216469184
75% Corpus,6,0.9099999999999999,0.31,0.2581790909104687
75% Corpus,6,0.9099999999999999,0.61,0.2559833150296756
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.2609629703203984
75% Corpus,6,0.9099999999999999,symmetric,0.26291403309933953
75% Corpus,6,symmetric,0.01,0.2618590204232181
75% Corpus,6,symmetric,0.31,0.2573180755625049
75% Corpus,6,symmetric,0.61,0.2559833150296756
75% Corpus,6,symmetric,0.9099999999999999,0.2609629703203984
75% Corpus,6,symmetric,symmetric,0.26291403309933953
75% Corpus,6,asymmetric,0.01,0.2618590204232181
75% Corpus,6,asymmetric,0.31,0.2573180755625049
75% Corpus,6,asymmetric,0.61,0.2559833150296757
75% Corpus,6,asymmetric,0.9099999999999999,0.2612828652616945
75% Corpus,6,asymmetric,symmetric,0.26291403309933953
75% Corpus,7,0.01,0.01,0.26099545315806144
75% Corpus,7,0.01,0.31,0.2567245383597789
75% Corpus,7,0.01,0.61,0.2674786111021684
75% Corpus,7,0.01,0.9099999999999999,0.26499224612538647
75% Corpus,7,0.01,symmetric,0.2554623127996728
75% Corpus,7,0.31,0.01,0.26099545315806144
75% Corpus,7,0.31,0.31,0.2567245383597789
75% Corpus,7,0.31,0.61,0.2674786111021684
75% Corpus,7,0.31,0.9099999999999999,0.2649922461253864
75% Corpus,7,0.31,symmetric,0.2554623127996728
75% Corpus,7,0.61,0.01,0.26099545315806144
75% Corpus,7,0.61,0.31,0.2567245383597789
75% Corpus,7,0.61,0.61,0.26845842760696437
75% Corpus,7,0.61,0.9099999999999999,0.26499224612538647
75% Corpus,7,0.61,symmetric,0.25546122014970984
75% Corpus,7,0.9099999999999999,0.01,0.26099545315806144
75% Corpus,7,0.9099999999999999,0.31,0.2567245383597789
75% Corpus,7,0.9099999999999999,0.61,0.26845842760696437
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.26499224612538647
75% Corpus,7,0.9099999999999999,symmetric,0.25474899746089563
75% Corpus,7,symmetric,0.01,0.26099545315806144
75% Corpus,7,symmetric,0.31,0.2567245383597789
75% Corpus,7,symmetric,0.61,0.2674786111021684
75% Corpus,7,symmetric,0.9099999999999999,0.26499224612538647
75% Corpus,7,symmetric,symmetric,0.2554623127996728
75% Corpus,7,asymmetric,0.01,0.26099545315806144
75% Corpus,7,asymmetric,0.31,0.2567245383597789
75% Corpus,7,asymmetric,0.61,0.2674786111021684
75% Corpus,7,asymmetric,0.9099999999999999,0.26532505097743464
75% Corpus,7,asymmetric,symmetric,0.2554623127996728
75% Corpus,8,0.01,0.01,0.2563263333610512
75% Corpus,8,0.01,0.31,0.25813164349513507
75% Corpus,8,0.01,0.61,0.25541624611324293
75% Corpus,8,0.01,0.9099999999999999,0.33227443735899265
75% Corpus,8,0.01,symmetric,0.2570134417777207
75% Corpus,8,0.31,0.01,0.2563263333610512
75% Corpus,8,0.31,0.31,0.25813164349513507
75% Corpus,8,0.31,0.61,0.25671091685226155
75% Corpus,8,0.31,0.9099999999999999,0.33227443735899265
75% Corpus,8,0.31,symmetric,0.2570134417777207
75% Corpus,8,0.61,0.01,0.2563263333610512
75% Corpus,8,0.61,0.31,0.25813164349513507
75% Corpus,8,0.61,0.61,0.25671091685226155
75% Corpus,8,0.61,0.9099999999999999,0.33733053811951574
75% Corpus,8,0.61,symmetric,0.257007568027825
75% Corpus,8,0.9099999999999999,0.01,0.2571024252191887
75% Corpus,8,0.9099999999999999,0.31,0.25813164349513507
75% Corpus,8,0.9099999999999999,0.61,0.25671091685226155
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.33733053811951574
75% Corpus,8,0.9099999999999999,symmetric,0.259581454430482
75% Corpus,8,symmetric,0.01,0.2563263333610512
75% Corpus,8,symmetric,0.31,0.25813164349513507
75% Corpus,8,symmetric,0.61,0.25541624611324293
75% Corpus,8,symmetric,0.9099999999999999,0.33227443735899265
75% Corpus,8,symmetric,symmetric,0.2570134417777207
75% Corpus,8,asymmetric,0.01,0.25698687772171824
75% Corpus,8,asymmetric,0.31,0.25813164349513507
75% Corpus,8,asymmetric,0.61,0.2569254263300107
75% Corpus,8,asymmetric,0.9099999999999999,0.33437573750448996
75% Corpus,8,asymmetric,symmetric,0.2570134417777207
75% Corpus,9,0.01,0.01,0.2639581121998573
75% Corpus,9,0.01,0.31,0.25826777118345046
75% Corpus,9,0.01,0.61,0.2975280730658415
75% Corpus,9,0.01,0.9099999999999999,0.2552011550674893
75% Corpus,9,0.01,symmetric,0.25710193007818155
75% Corpus,9,0.31,0.01,0.2647306524186607
75% Corpus,9,0.31,0.31,0.25685975629463853
75% Corpus,9,0.31,0.61,0.2975280730658415
75% Corpus,9,0.31,0.9099999999999999,0.2552011550674893
75% Corpus,9,0.31,symmetric,0.25710193007818155
75% Corpus,9,0.61,0.01,0.2647306524186607
75% Corpus,9,0.61,0.31,0.25685975629463853
75% Corpus,9,0.61,0.61,0.2975280730658415
75% Corpus,9,0.61,0.9099999999999999,0.2552011550674893
75% Corpus,9,0.61,symmetric,0.25710193007818155
75% Corpus,9,0.9099999999999999,0.01,0.2647306524186607
75% Corpus,9,0.9099999999999999,0.31,0.25685975629463853
75% Corpus,9,0.9099999999999999,0.61,0.2993360981631103
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.2549458697679634
75% Corpus,9,0.9099999999999999,symmetric,0.25710193007818155
75% Corpus,9,symmetric,0.01,0.2639581121998573
75% Corpus,9,symmetric,0.31,0.25685975629463853
75% Corpus,9,symmetric,0.61,0.2975280730658415
75% Corpus,9,symmetric,0.9099999999999999,0.2552011550674893
75% Corpus,9,symmetric,symmetric,0.25710193007818155
75% Corpus,9,asymmetric,0.01,0.2646095445378179
75% Corpus,9,asymmetric,0.31,0.25826777118345046
75% Corpus,9,asymmetric,0.61,0.2990930552953382
75% Corpus,9,asymmetric,0.9099999999999999,0.2549458697679634
75% Corpus,9,asymmetric,symmetric,0.25710193007818155
75% Corpus,10,0.01,0.01,0.2614835826100173
75% Corpus,10,0.01,0.31,0.26154004918883444
75% Corpus,10,0.01,0.61,0.26832967207952085
75% Corpus,10,0.01,0.9099999999999999,0.2860442550804045
75% Corpus,10,0.01,symmetric,0.2584062890334425
75% Corpus,10,0.31,0.01,0.2614835826100173
75% Corpus,10,0.31,0.31,0.26154004918883444
75% Corpus,10,0.31,0.61,0.26832967207952085
75% Corpus,10,0.31,0.9099999999999999,0.2860442550804045
75% Corpus,10,0.31,symmetric,0.2584062890334425
75% Corpus,10,0.61,0.01,0.2614835826100173
75% Corpus,10,0.61,0.31,0.2615400491888345
75% Corpus,10,0.61,0.61,0.26832967207952085
75% Corpus,10,0.61,0.9099999999999999,0.2860442550804045
75% Corpus,10,0.61,symmetric,0.2584062890334425
75% Corpus,10,0.9099999999999999,0.01,0.2614835826100173
75% Corpus,10,0.9099999999999999,0.31,0.2615400491888345
75% Corpus,10,0.9099999999999999,0.61,0.26832967207952085
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.2860442550804045
75% Corpus,10,0.9099999999999999,symmetric,0.2584062890334425
75% Corpus,10,symmetric,0.01,0.2614835826100173
75% Corpus,10,symmetric,0.31,0.26154004918883444
75% Corpus,10,symmetric,0.61,0.26832967207952085
75% Corpus,10,symmetric,0.9099999999999999,0.2860442550804045
75% Corpus,10,symmetric,symmetric,0.2584062890334425
75% Corpus,10,asymmetric,0.01,0.2614835826100173
75% Corpus,10,asymmetric,0.31,0.26154004918883444
75% Corpus,10,asymmetric,0.61,0.27259054287009415
75% Corpus,10,asymmetric,0.9099999999999999,0.2860442550804045
75% Corpus,10,asymmetric,symmetric,0.2584062890334425
100% Corpus,2,0.01,0.01,0.26381246920686474
100% Corpus,2,0.01,0.31,0.2593707193367082
100% Corpus,2,0.01,0.61,0.2511415143676775
100% Corpus,2,0.01,0.9099999999999999,0.2537159755004773
100% Corpus,2,0.01,symmetric,0.2593707193367082
100% Corpus,2,0.31,0.01,0.26381246920686474
100% Corpus,2,0.31,0.31,0.2593707193367082
100% Corpus,2,0.31,0.61,0.2511415143676775
100% Corpus,2,0.31,0.9099999999999999,0.2537159755004773
100% Corpus,2,0.31,symmetric,0.2593707193367082
100% Corpus,2,0.61,0.01,0.26381246920686474
100% Corpus,2,0.61,0.31,0.2593707193367082
100% Corpus,2,0.61,0.61,0.2511415143676775
100% Corpus,2,0.61,0.9099999999999999,0.2537159755004773
100% Corpus,2,0.61,symmetric,0.2593707193367082
100% Corpus,2,0.9099999999999999,0.01,0.26381246920686474
100% Corpus,2,0.9099999999999999,0.31,0.2593707193367082
100% Corpus,2,0.9099999999999999,0.61,0.2511415143676775
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2537159755004773
100% Corpus,2,0.9099999999999999,symmetric,0.2593707193367082
100% Corpus,2,symmetric,0.01,0.26381246920686474
100% Corpus,2,symmetric,0.31,0.2593707193367082
100% Corpus,2,symmetric,0.61,0.2511415143676775
100% Corpus,2,symmetric,0.9099999999999999,0.2537159755004773
100% Corpus,2,symmetric,symmetric,0.2593707193367082
100% Corpus,2,asymmetric,0.01,0.26381246920686474
100% Corpus,2,asymmetric,0.31,0.2593707193367082
100% Corpus,2,asymmetric,0.61,0.2511415143676775
100% Corpus,2,asymmetric,0.9099999999999999,0.2537159755004773
100% Corpus,2,asymmetric,symmetric,0.2557182245779993
100% Corpus,3,0.01,0.01,0.2623367071017178
100% Corpus,3,0.01,0.31,0.2623367071017178
100% Corpus,3,0.01,0.61,0.2634194073612468
100% Corpus,3,0.01,0.9099999999999999,0.26202243646510426
100% Corpus,3,0.01,symmetric,0.2623367071017178
100% Corpus,3,0.31,0.01,0.2623367071017178
100% Corpus,3,0.31,0.31,0.2623367071017178
100% Corpus,3,0.31,0.61,0.2634194073612468
100% Corpus,3,0.31,0.9099999999999999,0.26202243646510426
100% Corpus,3,0.31,symmetric,0.2623367071017178
100% Corpus,3,0.61,0.01,0.2623367071017178
100% Corpus,3,0.61,0.31,0.2623367071017178
100% Corpus,3,0.61,0.61,0.2634194073612468
100% Corpus,3,0.61,0.9099999999999999,0.26202243646510426
100% Corpus,3,0.61,symmetric,0.2623367071017178
100% Corpus,3,0.9099999999999999,0.01,0.2623367071017178
100% Corpus,3,0.9099999999999999,0.31,0.2623367071017178
100% Corpus,3,0.9099999999999999,0.61,0.2634194073612468
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.26202243646510426
100% Corpus,3,0.9099999999999999,symmetric,0.2623367071017178
100% Corpus,3,symmetric,0.01,0.2623367071017178
100% Corpus,3,symmetric,0.31,0.2623367071017178
100% Corpus,3,symmetric,0.61,0.2634194073612468
100% Corpus,3,symmetric,0.9099999999999999,0.26202243646510426
100% Corpus,3,symmetric,symmetric,0.2623367071017178
100% Corpus,3,asymmetric,0.01,0.2623367071017178
100% Corpus,3,asymmetric,0.31,0.2623367071017178
100% Corpus,3,asymmetric,0.61,0.2634194073612468
100% Corpus,3,asymmetric,0.9099999999999999,0.26202243646510426
100% Corpus,3,asymmetric,symmetric,0.2623367071017178
100% Corpus,4,0.01,0.01,0.26091960187862073
100% Corpus,4,0.01,0.31,0.2595659636669866
100% Corpus,4,0.01,0.61,0.2542552408188139
100% Corpus,4,0.01,0.9099999999999999,0.2553585241527863
100% Corpus,4,0.01,symmetric,0.2596617573383855
100% Corpus,4,0.31,0.01,0.26091960187862073
100% Corpus,4,0.31,0.31,0.2595659636669866
100% Corpus,4,0.31,0.61,0.2542552408188139
100% Corpus,4,0.31,0.9099999999999999,0.2553585241527863
100% Corpus,4,0.31,symmetric,0.2596617573383855
100% Corpus,4,0.61,0.01,0.26091960187862073
100% Corpus,4,0.61,0.31,0.2595659636669866
100% Corpus,4,0.61,0.61,0.2542552408188139
100% Corpus,4,0.61,0.9099999999999999,0.2553585241527863
100% Corpus,4,0.61,symmetric,0.2596617573383855
100% Corpus,4,0.9099999999999999,0.01,0.26091960187862073
100% Corpus,4,0.9099999999999999,0.31,0.2595659636669866
100% Corpus,4,0.9099999999999999,0.61,0.2542552408188139
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2553585241527863
100% Corpus,4,0.9099999999999999,symmetric,0.2596617573383855
100% Corpus,4,symmetric,0.01,0.26091960187862073
100% Corpus,4,symmetric,0.31,0.2595659636669866
100% Corpus,4,symmetric,0.61,0.2542552408188139
100% Corpus,4,symmetric,0.9099999999999999,0.2553585241527863
100% Corpus,4,symmetric,symmetric,0.2596617573383855
100% Corpus,4,asymmetric,0.01,0.26091960187862073
100% Corpus,4,asymmetric,0.31,0.2595659636669866
100% Corpus,4,asymmetric,0.61,0.2542552408188139
100% Corpus,4,asymmetric,0.9099999999999999,0.2553585241527863
100% Corpus,4,asymmetric,symmetric,0.2596617573383855
100% Corpus,5,0.01,0.01,0.2582791735198675
100% Corpus,5,0.01,0.31,0.2611949853195214
100% Corpus,5,0.01,0.61,0.26543956090184334
100% Corpus,5,0.01,0.9099999999999999,0.2734857751087715
100% Corpus,5,0.01,symmetric,0.2595157799963316
100% Corpus,5,0.31,0.01,0.2582791735198675
100% Corpus,5,0.31,0.31,0.2611949853195214
100% Corpus,5,0.31,0.61,0.26543956090184334
100% Corpus,5,0.31,0.9099999999999999,0.2734857751087715
100% Corpus,5,0.31,symmetric,0.2595157799963316
100% Corpus,5,0.61,0.01,0.2582791735198675
100% Corpus,5,0.61,0.31,0.2611949853195214
100% Corpus,5,0.61,0.61,0.26543956090184334
100% Corpus,5,0.61,0.9099999999999999,0.2734857751087715
100% Corpus,5,0.61,symmetric,0.2595157799963316
100% Corpus,5,0.9099999999999999,0.01,0.2582791735198675
100% Corpus,5,0.9099999999999999,0.31,0.2611949853195214
100% Corpus,5,0.9099999999999999,0.61,0.26543956090184334
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.2734857751087715
100% Corpus,5,0.9099999999999999,symmetric,0.2595157799963316
100% Corpus,5,symmetric,0.01,0.2582791735198675
100% Corpus,5,symmetric,0.31,0.2611949853195214
100% Corpus,5,symmetric,0.61,0.26543956090184334
100% Corpus,5,symmetric,0.9099999999999999,0.2734857751087715
100% Corpus,5,symmetric,symmetric,0.2595157799963316
100% Corpus,5,asymmetric,0.01,0.2582791735198675
100% Corpus,5,asymmetric,0.31,0.2611949853195214
100% Corpus,5,asymmetric,0.61,0.26543956090184334
100% Corpus,5,asymmetric,0.9099999999999999,0.2738135603341248
100% Corpus,5,asymmetric,symmetric,0.2595157799963316
100% Corpus,6,0.01,0.01,0.2631539055695664
100% Corpus,6,0.01,0.31,0.25526105669597754
100% Corpus,6,0.01,0.61,0.31018652619460585
100% Corpus,6,0.01,0.9099999999999999,0.27113664538141863
100% Corpus,6,0.01,symmetric,0.2648405652598877
100% Corpus,6,0.31,0.01,0.2631539055695664
100% Corpus,6,0.31,0.31,0.25526105669597754
100% Corpus,6,0.31,0.61,0.30348357480084337
100% Corpus,6,0.31,0.9099999999999999,0.27113664538141863
100% Corpus,6,0.31,symmetric,0.26484056525988764
100% Corpus,6,0.61,0.01,0.2631539055695664
100% Corpus,6,0.61,0.31,0.25526105669597754
100% Corpus,6,0.61,0.61,0.29911790257740123
100% Corpus,6,0.61,0.9099999999999999,0.27113664538141863
100% Corpus,6,0.61,symmetric,0.26484056525988764
100% Corpus,6,0.9099999999999999,0.01,0.2631539055695664
100% Corpus,6,0.9099999999999999,0.31,0.25526105669597754
100% Corpus,6,0.9099999999999999,0.61,0.29911790257740123
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.27113664538141863
100% Corpus,6,0.9099999999999999,symmetric,0.26484056525988764
100% Corpus,6,symmetric,0.01,0.2631539055695664
100% Corpus,6,symmetric,0.31,0.25526105669597754
100% Corpus,6,symmetric,0.61,0.31018652619460585
100% Corpus,6,symmetric,0.9099999999999999,0.27113664538141863
100% Corpus,6,symmetric,symmetric,0.2648405652598877
100% Corpus,6,asymmetric,0.01,0.2631539055695664
100% Corpus,6,asymmetric,0.31,0.25526105669597754
100% Corpus,6,asymmetric,0.61,0.30348357480084337
100% Corpus,6,asymmetric,0.9099999999999999,0.27131990586741195
100% Corpus,6,asymmetric,symmetric,0.2648405652598877
100% Corpus,7,0.01,0.01,0.2611599002095697
100% Corpus,7,0.01,0.31,0.2580779512093549
100% Corpus,7,0.01,0.61,0.2740038603944813
100% Corpus,7,0.01,0.9099999999999999,0.2532258905972516
100% Corpus,7,0.01,symmetric,0.2652556289815968
100% Corpus,7,0.31,0.01,0.2625839286694397
100% Corpus,7,0.31,0.31,0.2580779512093549
100% Corpus,7,0.31,0.61,0.2740038603944813
100% Corpus,7,0.31,0.9099999999999999,0.25491267511066856
100% Corpus,7,0.31,symmetric,0.28287736208405134
100% Corpus,7,0.61,0.01,0.26349403742835736
100% Corpus,7,0.61,0.31,0.2587345528451172
100% Corpus,7,0.61,0.61,0.2740038603944813
100% Corpus,7,0.61,0.9099999999999999,0.25428804678681277
100% Corpus,7,0.61,symmetric,0.28110879107562664
100% Corpus,7,0.9099999999999999,0.01,0.26349403742835736
100% Corpus,7,0.9099999999999999,0.31,0.2587345528451172
100% Corpus,7,0.9099999999999999,0.61,0.2740038603944813
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.25428804678681277
100% Corpus,7,0.9099999999999999,symmetric,0.2773549733869608
100% Corpus,7,symmetric,0.01,0.2625839286694397
100% Corpus,7,symmetric,0.31,0.2580779512093549
100% Corpus,7,symmetric,0.61,0.2740038603944813
100% Corpus,7,symmetric,0.9099999999999999,0.2532258905972516
100% Corpus,7,symmetric,symmetric,0.26210766842822525
100% Corpus,7,asymmetric,0.01,0.2625839286694397
100% Corpus,7,asymmetric,0.31,0.2580779512093549
100% Corpus,7,asymmetric,0.61,0.2701536473997682
100% Corpus,7,asymmetric,0.9099999999999999,0.2548674071119827
100% Corpus,7,asymmetric,symmetric,0.2652556289815968
100% Corpus,8,0.01,0.01,0.25673854259621653
100% Corpus,8,0.01,0.31,0.2586170471412691
100% Corpus,8,0.01,0.61,0.26201717345487396
100% Corpus,8,0.01,0.9099999999999999,0.3341613348199222
100% Corpus,8,0.01,symmetric,0.25712012416549157
100% Corpus,8,0.31,0.01,0.25673854259621653
100% Corpus,8,0.31,0.31,0.2586170471412691
100% Corpus,8,0.31,0.61,0.26201717345487396
100% Corpus,8,0.31,0.9099999999999999,0.3312280527611846
100% Corpus,8,0.31,symmetric,0.2567315929331736
100% Corpus,8,0.61,0.01,0.25673854259621653
100% Corpus,8,0.61,0.31,0.2586170471412691
100% Corpus,8,0.61,0.61,0.26201717345487396
100% Corpus,8,0.61,0.9099999999999999,0.3312280527611846
100% Corpus,8,0.61,symmetric,0.2567315929331736
100% Corpus,8,0.9099999999999999,0.01,0.25673854259621653
100% Corpus,8,0.9099999999999999,0.31,0.2586170471412691
100% Corpus,8,0.9099999999999999,0.61,0.26201717345487396
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3312280527611846
100% Corpus,8,0.9099999999999999,symmetric,0.2567315929331736
100% Corpus,8,symmetric,0.01,0.25673854259621653
100% Corpus,8,symmetric,0.31,0.2586170471412691
100% Corpus,8,symmetric,0.61,0.26201717345487396
100% Corpus,8,symmetric,0.9099999999999999,0.3341613348199222
100% Corpus,8,symmetric,symmetric,0.25712012416549157
100% Corpus,8,asymmetric,0.01,0.25673854259621653
100% Corpus,8,asymmetric,0.31,0.2586170471412691
100% Corpus,8,asymmetric,0.61,0.26203303063490463
100% Corpus,8,asymmetric,0.9099999999999999,0.3297363790102042
100% Corpus,8,asymmetric,symmetric,0.2567315929331736
100% Corpus,9,0.01,0.01,0.26357351307445614
100% Corpus,9,0.01,0.31,0.25988515808932616
100% Corpus,9,0.01,0.61,0.2907896790001344
100% Corpus,9,0.01,0.9099999999999999,0.2898049503952161
100% Corpus,9,0.01,symmetric,0.28555272836701556
100% Corpus,9,0.31,0.01,0.2635735130744561
100% Corpus,9,0.31,0.31,0.2558661773568722
100% Corpus,9,0.31,0.61,0.2907896790001344
