book_index,book_title,"Topic 0: ['friend', 'exclaimed', 'returned', 'among']","Topic 1: ['yet', 'enough', 'day', 'back']","Topic 2: ['know', 'away', 'night', 'nothing']","Topic 3: ['back', 'cried', 'away', 'look']","Topic 4: ['know', 'school', 'last', 'day']","Topic 5: ['deck', 'away', 'first', 'moment']","Topic 6: ['replied', 'soon', 'day', 'take']"
52,1885_collingwood-the-congo-rovers-a-story-of-the-slave-squadron,0.1975,0.0,0.0493,0.0363,0.0164,0.668,0.0325
53,1885_collingwood-the-voyage-of-the-aurora,0.1952,0.0112,0.0721,0.0275,0.0264,0.6408,0.0267
54,1885_fenn-the-new-forest-spy,0.0743,0.0058,0.2975,0.5025,0.0908,0.0101,0.019
55,1885_henty-the-dragon-and-the-raven,0.1107,0.199,0.0087,0.0149,0.0,0.0702,0.5965
56,1885_henty-the-young-colonists,0.0709,0.0,0.0211,0.0844,0.028,0.0384,0.7572
57,1885_kingston-adventures-in-australia,0.0885,0.0,0.0416,0.1463,0.0101,0.0618,0.6517
58,1885_reed-follow-my-leader,0.1003,0.0084,0.1622,0.0273,0.6714,0.0224,0.008
59,1885_reed-reginald-cruden,0.1115,0.0032,0.2963,0.0002,0.571,0.0089,0.009
60,1886_ballantyne-the-lively-poll,0.4175,0.0016,0.2407,0.0706,0.0855,0.1624,0.0218
61,1886_ballantyne-the-prairie-chief,0.5427,0.0125,0.1261,0.1177,0.0055,0.0024,0.193
62,1886_fenn-son-phillip,0.1731,0.004,0.3548,0.3418,0.0966,0.0295,0.0001
63,1886_henty-for-name-and-fame,0.0516,0.0073,0.0733,0.04,0.0506,0.1012,0.6761
64,1886_henty-within-the-enemy-lines,0.0515,0.0,0.0819,0.0,0.0756,0.3165,0.4744
65,1886_stevenson-kidnapped,0.0333,0.3503,0.4317,0.0961,0.01,0.0363,0.0421
66,1887_adams-perils-in-the-transvaal-and-zululand,0.133,0.0047,0.1478,0.0079,0.0591,0.0707,0.5768
67,1887_collingwood-the-rovers-secret-a-tale-of-the-pirate-cays-and-lagoons-of-cuba,0.1668,0.0001,0.0585,0.0,0.0413,0.7013,0.0318
68,1887_fenn-the-bag-of-diamonds,0.161,0.0019,0.5081,0.1726,0.1556,0.0003,0.0005
69,1887_reed-the-master-of-the-shell,0.1188,0.0,0.1828,0.0004,0.6645,0.0182,0.0154
70,1888_henty-sturdy-and-strong,0.0353,0.0004,0.3259,0.0517,0.2704,0.1518,0.1644
71,1888_in-the-reign-of-terror,0.0985,0.0723,0.2913,0.0,0.1235,0.0626,0.3518
72,1888_lang-the-gold-of-fairnilee,0.0002,0.234,0.4274,0.3357,0.0001,0.0006,0.0021
73,1888_macdonald-a-rough-shaking,0.1053,0.0335,0.6892,0.0834,0.043,0.0221,0.0236
74,1888_wilde-the-happy-prince-and-other-tales,0.0612,0.0117,0.6707,0.226,0.0259,0.001,0.0035
75,1889_fenn-three-boys,0.085,0.0153,0.1613,0.6552,0.0507,0.0312,0.0014
76,1889_lang-prince-prigio,0.0703,0.072,0.6096,0.1269,0.0786,0.0001,0.0425
77,1889_reed-sir-ludar,0.0163,0.5235,0.2112,0.084,0.0561,0.0768,0.0321
78,1890_ballantyne-the-eagle-cliff,0.4423,0.015,0.1832,0.1988,0.0503,0.0406,0.0698
79,1891_reed-roger-ingleton-minor,0.131,0.0087,0.2564,0.0007,0.5545,0.0239,0.0248
80,1893_reed-the-cock-house-at-fellsgarth,0.083,0.0001,0.1329,0.0373,0.6909,0.0184,0.0374
81,1893_stevenson-catriona,0.1057,0.3656,0.41,0.0092,0.0557,0.0124,0.0415
82,1894_collingwood-the-cruise-of-the-esmeralda,0.1693,0.0,0.0729,0.0098,0.0241,0.7232,0.0006
83,1894_kipling-the-jungle-book,0.0001,0.0893,0.2158,0.6583,0.0047,0.002,0.0298
84,1894_reed-a-dog-with-a-bad-name,0.1386,0.0111,0.291,0.0088,0.4882,0.0145,0.0479
85,1894_reed-tom-dick-and-harry,0.1048,0.001,0.17,0.0127,0.6748,0.023,0.0137
86,1895_collingwood-the-pirate-slaver-a-story-of-the-west-african-coast,0.1452,0.0007,0.0336,0.0237,0.0086,0.7667,0.0216
